,Date,Distance,Calories,Avg HR,Avg Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Elapsed Time,Avg Speed,Best Speed,Count,isInjured
410,2020-10-19 07:35:00,4.86,444.0,154.0,162,7.583333333333333,3.6,1.31,38.35,7.912087912087912,16.666666666666668,1,0
409,2020-10-20 07:18:00,2.47,229.0,147.0,159,8.083333333333334,6.933333333333334,1.25,34.28333333333333,7.422680412371133,8.653846153846153,1,0
405,2020-10-20 09:05:00,2.13,224.0,161.0,164,8.05,7.35,1.22,17.15,7.453416149068322,8.16326530612245,1,0
404,2020-10-21 08:38:00,7.28,706.0,162.0,162,7.5,6.833333333333333,1.32,54.68333333333333,8.0,8.78048780487805,1,0
403,2020-10-22 07:41:00,6.65,517.0,148.0,162,7.316666666666666,4.0,1.35,65.4,8.200455580865604,15.0,1,0
402,2020-10-23 07:14:00,2.01,188.0,141.0,153,8.75,7.75,1.2,32.55,6.857142857142857,7.741935483870968,1,0
401,2020-10-23 08:08:00,6.95,621.0,169.0,165,6.883333333333333,4.783333333333333,1.4,47.916666666666664,8.716707021791768,12.543554006968641,1,0
399,2020-10-24 13:39:00,2.23,199.0,149.0,159,7.533333333333333,5.85,1.35,16.783333333333335,7.964601769911504,10.256410256410257,1,0
397,2020-10-26 07:44:00,5.8,539.0,156.0,156,7.75,3.783333333333333,1.34,69.91666666666667,7.741935483870968,15.859030837004406,1,0
395,2020-10-27 08:05:00,2.0,159.0,167.0,170,5.866666666666667,4.9,1.61,11.733333333333333,10.227272727272727,12.244897959183673,1,0
392,2020-10-28 08:37:00,6.79,607.0,150.0,162,7.766666666666667,6.95,1.27,52.95,7.725321888412017,8.633093525179856,1,0
391,2020-10-29 10:24:00,4.25,432.0,163.0,162,7.733333333333333,6.8,1.29,34.666666666666664,7.758620689655173,8.823529411764707,1,0
390,2020-10-30 08:19:00,2.0,179.0,149.0,162,7.5,6.4,1.33,15.0,8.0,9.375,1,0
389,2020-10-30 14:34:00,2.01,195.0,155.0,159,7.683333333333334,6.616666666666667,1.32,20.6,7.809110629067245,9.06801007556675,1,0
388,2020-10-30 16:16:00,2.83,305.0,149.0,151,9.266666666666667,7.266666666666667,1.15,36.46666666666667,6.474820143884892,8.256880733944953,1,0
387,2020-10-31 15:16:00,2.32,242.0,166.0,158,7.65,5.183333333333334,1.33,17.733333333333334,7.8431372549019605,11.57556270096463,1,0
386,2020-11-01 08:40:00,9.21,765.0,151.0,162,7.5,2.7333333333333334,1.32,76.81666666666666,8.0,21.95121951219512,1,0
385,2020-11-02 07:21:00,2.02,197.0,151.0,155,8.033333333333333,7.116666666666666,1.3,19.733333333333334,7.468879668049793,8.430913348946136,1,0
384,2020-11-02 07:55:00,3.95,263.0,147.0,169,5.966666666666667,5.45,1.6,29.683333333333334,10.05586592178771,11.009174311926605,1,0
383,2020-11-02 08:31:00,3.13,287.0,145.0,160,8.283333333333333,7.233333333333333,1.22,30.95,7.2434607645875255,8.294930875576037,1,0
382,2020-11-03 11:46:00,5.88,559.0,161.0,161,7.35,6.566666666666666,1.36,43.333333333333336,8.16326530612245,9.137055837563452,1,0
381,2020-11-04 07:33:00,3.18,301.0,154.0,163,7.666666666666667,6.883333333333333,1.3,42.9,7.826086956521739,8.716707021791768,1,0
380,2020-11-04 08:26:00,2.79,253.0,149.0,121,8.133333333333333,4.4,1.52,24.933333333333334,7.3770491803278695,13.636363636363635,1,0
379,2020-11-04 08:56:00,2.01,203.0,156.0,161,7.983333333333333,7.35,1.25,16.033333333333335,7.515657620041754,8.16326530612245,1,0
378,2020-11-05 08:09:00,6.22,568.0,156.0,162,7.466666666666667,6.116666666666666,1.33,49.78333333333333,8.035714285714285,9.809264305177113,1,0
377,2020-11-06 07:49:00,4.39,458.0,166.0,159,7.933333333333334,3.7666666666666666,1.27,49.65,7.563025210084033,15.929203539823009,1,0
376,2020-11-07 07:20:00,1.01,85.0,142.0,162,7.483333333333333,7.266666666666667,1.32,452.1,8.017817371937639,8.256880733944953,1,0
375,2020-11-07 13:05:00,1.98,186.0,146.0,157,8.183333333333334,5.916666666666667,1.25,25.6,7.3319755600814664,10.140845070422534,1,0
373,2020-11-08 09:06:00,5.47,533.0,158.0,161,7.683333333333334,6.833333333333333,1.3,45.5,7.809110629067245,8.78048780487805,1,0
372,2020-11-10 07:15:00,8.0,678.0,162.0,163,6.7,4.916666666666667,1.47,88.35,8.955223880597014,12.203389830508474,1,0
371,2020-11-10 08:50:00,0.77,71.0,145.0,159,7.916666666666667,7.466666666666667,1.28,365.6,7.578947368421052,8.035714285714285,1,0
370,2020-11-11 08:54:00,4.66,449.0,160.0,160,7.5,6.816666666666666,1.35,37.28333333333333,8.0,8.80195599022005,1,0
